Player,From,To,Pos,Ht,Wt,Colleges
Alaa Abdelnaby,1991,1995,F-C,6-10,240,Duke
Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,Iowa State
Kareem Abdul-Jabbar*,1970,1989,C,7-2,225,UCLA
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,LSU
Tariq Abdul-Wahad,1998,2003,F,6-6,223,"Michigan, San Jose State"
Shareef Abdur-Rahim,1997,2008,F,6-9,225,California
Tom Abernethy,1977,1981,F,6-7,220,Indiana
Forest Able,1957,1957,G,6-3,180,Western Kentucky
John Abramovic,1947,1948,F,6-3,195,Salem University
Precious Achiuwa,2021,2022,F,6-8,225,Memphis
Alex Acker,2006,2009,G,6-5,185,Pepperdine
Don Ackerman,1954,1954,G,6-0,183,Long Island University
Mark Acres,1988,1993,F-C,6-11,220,Oral Roberts
Bud Acton,1968,1968,F,6-6,210,Hillsdale College
Quincy Acy,2013,2019,F-C,6-7,240,Baylor
Alvan Adams,1976,1988,C-F,6-9,210,Oklahoma
Don Adams,1971,1977,F,6-6,210,Northwestern
George Adams,1973,1975,F-G,6-5,210,Gardner-Webb University
Hassan Adams,2007,2009,G,6-4,220,Arizona
Jaylen Adams,2019,2021,G,6-0,225,St. Bonaventure
Jordan Adams,2015,2016,G,6-5,209,UCLA
Michael Adams,1986,1996,G,5-10,162,Boston College
Steven Adams,2014,2022,C,6-11,265,Pitt
Rafael Addison,1987,1997,F-G,6-7,215,Syracuse
Bam Adebayo,2018,2022,C-F,6-9,255,Kentucky
Deng Adel,2019,2019,F,6-7,200,Louisville
Rick Adelman*,1969,1975,G,6-1,175,Loyola Marymount
Jeff Adrien,2011,2015,F,6-7,245,UConn
Arron Afflalo,2008,2018,G-F,6-5,210,UCLA
Maurice Ager,2007,2011,G,6-5,202,Michigan State
Mark Aguirre,1982,1994,F-G,6-6,232,DePaul
Blake Ahearn,2008,2012,G,6-2,190,Missouri State
Danny Ainge,1982,1995,G,6-4,175,BYU
Matthew Aitch,1968,1968,F,6-7,230,Michigan State
Henry Akin,1967,1969,C-F,6-10,225,Morehead State University
Josh Akognon,2013,2013,G,5-11,185,"Washington State, Cal State Fullerton"
DeVaughn Akoon-Purcell,2019,2019,G,6-6,200,Illinois State
Solomon Alabi,2011,2012,C,7-1,251,Florida State
Mark Alarie,1987,1991,F,6-8,217,Duke
Gary Alcorn,1960,1961,C,6-9,225,Fresno State
Santi Aldama,2022,2022,F,6-11,224,Loyola (MD)
Cole Aldrich,2011,2018,C,6-11,250,Kansas
LaMarcus Aldridge,2007,2022,F-C,6-11,250,Texas
Chuck Aleksinas,1985,1985,C,6-11,260,"Kentucky, UConn"
Cliff Alexander,2016,2016,F,6-8,245,Kansas
Cory Alexander,1996,2005,G,6-1,185,Virginia
Courtney Alexander,2001,2003,G,6-5,205,"Virginia, Fresno State"
Gary Alexander,1994,1994,F,6-7,240,South Florida
Joe Alexander,2009,2010,F,6-8,230,West Virginia
Kyle Alexander,2020,2020,F,6-11,220,Tennessee
Ty-Shon Alexander,2021,2021,G,6-3,195,Creighton
Victor Alexander,1992,2002,C-F,6-9,265,Iowa State
Nickeil Alexander-Walker,2020,2022,G,6-6,205,Virginia Tech
Steve Alford,1988,1991,G,6-2,183,Indiana
Rawle Alkins,2019,2019,G,6-5,225,Arizona
Bill Allen,1968,1968,C-F,6-8,205,New Mexico State
Bob Allen,1969,1969,F,6-9,205,Marshall
Grayson Allen,2019,2022,G,6-4,198,Duke
Jarrett Allen,2018,2022,C-F,6-11,243,Texas
Jerome Allen,1996,1997,G,6-4,184,Penn
Kadeem Allen,2018,2020,G,6-1,200,Arizona
Lavoy Allen,2012,2017,F-C,6-9,260,Temple
Lucius Allen,1970,1979,G,6-2,175,UCLA
Malik Allen,2002,2011,F-C,6-10,255,Villanova
Randy Allen,1989,1990,F,6-8,220,Florida State
Ray Allen*,1997,2014,G,6-5,205,UConn
Tony Allen,2005,2018,G-F,6-4,213,"Butler County Community College, Oklahoma State"
Willie Allen,1972,1972,F,6-6,230,Miami (FL)
Odis Allison,1972,1972,F,6-6,195,UNLV
Lance Allred,2008,2008,C,6-11,250,"Utah, Weber State"
Darrell Allums,1981,1981,F,6-9,220,UCLA
Morris Almond,2008,2012,G,6-6,225,Rice University
Derrick Alston,1995,1997,F,6-11,225,Duquesne
Rafer Alston,2000,2010,G,6-2,171,Fresno State
Peter Aluma,1999,1999,C,6-10,260,Liberty
Jose Alvarado,2022,2022,G,6-0,179,Georgia Tech
John Amaechi,1996,2003,C-F,6-10,270,"Vanderbilt, Penn State"
Ashraf Amaya,1996,1997,F,6-8,230,Southern Illinois
Al-Farouq Aminu,2011,2021,F,6-8,220,Wake Forest
Lou Amundson,2007,2016,F-C,6-9,220,UNLV
Bob Anderegg,1960,1960,F-G,6-3,200,Michigan State
Chris Andersen,2002,2017,C-F,6-10,245,Blinn College
Alan Anderson,2006,2017,G-F,6-6,220,Michigan State
Andrew Anderson,1968,1970,G,6-2,184,Canisius
Antonio Anderson,2010,2010,G,6-6,215,Memphis
Cliff Anderson,1968,1971,G-F,6-2,200,Saint Joseph's
Dan Anderson,1968,1969,C,6-10,230,Augsburg College
Dan Anderson,1975,1976,G,6-2,185,USC
Derek Anderson,1998,2008,G,6-5,194,"Ohio State, Kentucky"
Dwight Anderson,1983,1983,G,6-3,185,"Kentucky, USC"
Eric Anderson,1993,1994,F,6-9,220,Indiana
Greg Anderson,1988,1998,F-C,6-10,230,Houston
J.J. Anderson,1983,1985,F,6-8,195,Bradley
James Anderson,2011,2016,G-F,6-6,213,Oklahoma State
Jerome Anderson,1976,1977,G,6-5,195,West Virginia
Justin Anderson,2016,2022,G,6-6,230,Virginia
Kenny Anderson,1992,2005,G,6-0,168,Georgia Tech
Kim Anderson,1979,1979,F,6-7,200,Missouri
Kyle Anderson,2015,2022,F-G,6-9,230,UCLA
Michael Anderson,1989,1989,G,5-11,184,Drexel
Nick Anderson,1990,2002,F-G,6-6,205,Illinois
Richard Anderson,1983,1990,F-C,6-10,240,UC Santa Barbara
Ron Anderson,1985,1994,F-G,6-7,215,Fresno State
Ryan Anderson,2009,2020,F,6-9,240,California
Shandon Anderson,1997,2006,F-G,6-6,208,Georgia
Willie Anderson,1989,1997,G-F,6-7,190,Georgia
Wally Anderzunas,1970,1970,C-F,6-7,220,Creighton
Don Anielak,1955,1955,F,6-7,190,Missouri State
Ike Anigbogu,2018,2019,F-C,6-10,250,UCLA
Michael Ansley,1990,1992,F,6-7,225,Alabama
Kostas Antetokounmpo,2019,2021,F,6-10,200,Dayton
Carmelo Anthony,2004,2022,F,6-7,238,Syracuse
Cole Anthony,2021,2022,G,6-2,185,UNC
Greg Anthony,1992,2002,G,6-0,176,"University of Portland, UNLV"
Joel Anthony,2008,2017,C,6-9,245,UNLV
OG Anunoby,2018,2022,F,6-7,232,Indiana
Keith Appling,2016,2016,G,6-1,185,Michigan State
Rafael Araújo,2005,2007,C,6-11,280,BYU
Stacey Arceneaux,1962,1962,F,6-4,210,Iowa State
Robert Archibald,2003,2004,F,6-11,250,Illinois
Tiny Archibald*,1971,1984,G,6-1,150,Texas-El Paso
Ryan Arcidiacono,2018,2021,G,6-3,195,Villanova
Jim Ard,1971,1978,F-C,6-8,215,Cincinnati
Gilbert Arenas,2002,2012,G,6-4,191,Arizona
Trevor Ariza,2005,2022,F,6-8,215,UCLA
Paul Arizin*,1951,1962,F-G,6-4,190,Villanova
Joe Arlauckas,1988,1988,F,6-9,230,Niagara University
B.J. Armstrong,1990,2000,G,6-2,175,Iowa
Bob Armstrong,1957,1957,C-F,6-8,220,Michigan State
Brandon Armstrong,2002,2004,G,6-5,188,Pepperdine
Curly Armstrong,1949,1951,G-F,5-11,170,Indiana
Darrell Armstrong,1995,2008,G,6-0,170,Fayetteville State University
Hilton Armstrong,2007,2014,F-C,6-11,235,UConn
Tate Armstrong,1978,1979,G,6-3,175,Duke
Jesse Arnelle,1956,1956,F,6-5,220,Penn State
Jay Arnette,1964,1966,G,6-2,175,Texas
Bob Arnzen,1970,1974,F,6-5,205,Notre Dame
Carlos Arroyo,2002,2011,G,6-2,202,Florida International University
Darrell Arthur,2009,2018,F,6-9,235,Kansas
John Arthurs,1970,1970,G,6-4,185,Tulane
Jamel Artis,2018,2018,G-F,6-7,213,Pitt
Vincent Askew,1988,1998,G-F,6-6,210,Memphis
Keith Askins,1991,1999,G-F,6-7,197,Alabama
Don Asmonga,1954,1954,G,6-2,185,Alliance College
Dick Atha,1956,1958,G,6-2,190,Indiana State University
Chucky Atkins,2000,2010,G,5-11,160,South Florida
Al Attles*,1961,1971,G,6-0,175,North Carolina A&T
Chet Aubuchon,1947,1947,G,5-10,137,Michigan State
Stacey Augmon,1992,2006,F-G,6-8,205,UNLV
D.J. Augustin,2009,2022,G,5-11,183,Texas
James Augustine,2007,2008,F,6-10,235,Illinois
Isaac Austin,1992,2002,C,6-10,255,Arizona State
Johnny Austin,1967,1968,G,6-0,170,Boston College
Ken Austin,1984,1984,F,6-9,205,Rice University
Anthony Avent,1993,2000,F,6-9,235,Seton Hall
Bird Averitt,1974,1978,G,6-1,170,Pepperdine
William Avery,2000,2002,G,6-2,197,Duke
Dennis Awtrey,1971,1982,C,6-10,235,Santa Clara
Joel Ayayi,2022,2022,G,6-5,180,Gonzaga
Jeff Ayres,2010,2016,F,6-9,240,Arizona State
Deandre Ayton,2019,2022,C,6-11,250,Arizona
Kelenna Azubuike,2007,2012,G,6-5,220,Kentucky
Udoka Azubuike,2021,2022,C,6-10,280,Kansas
